rho,ordinal_covariance
0,0
2.0112968870497177e-4,1.3883581868658068e-4
4.0225937740994355e-4,2.7767314221179007e-4
6.033890661149154e-4,4.165119716415949e-4
8.045187548198871e-4,5.553523080429473e-4
0.0010056484435248588,6.94194152481134e-4
0.0012067781322298307,8.330375060233014e-4
0.0014079078209348025,9.718823697348472e-4
0.0016090375096397742,0.001110728744682668
0.001810167198344746,0.0012495766319327167
0.0020112968870497176,0.0013884260325516679
0.0022124265757546896,0.0015272769476062792
0.0024135562644596615,0.0016661293781617265
0.002614685953164633,0.0018049833252860442
0.002815815641869605,0.001943838790044547
0.0030169453305745764,0.002082695773504381
0.0032180750192795484,0.0022215542767317215
0.0034192047079845203,0.0023604143007937145
0.003620334396689492,0.002499275846756341
0.0038214640853944637,0.002638138915686719
0.004022593774099435,0.0027770035086514405
0.004223723462804407,0.002915869626717235
0.004424853151509379,0.003054737270950722
0.004625982840214351,0.003193606442418853
0.004827112528919323,0.003332477142188192
0.005028242217624294,0.003471349371326163
0.005229371906329266,0.0036102231308992455
0.005430501595034238,0.00374909842197442
0.00563163128373921,0.003887975245618472
0.005832760972444182,0.004026853602898825
0.006033890661149153,0.004165733494882154
0.006235020349854125,0.004304614922635466
0.006436150038559097,0.00444349788722638
0.006637279727264069,0.004582382389721432
0.006838409415969041,0.004721268431188044
0.007039539104674012,0.004860156012693642
0.007240668793378984,0.0049990451353047055
0.0074417984820839556,0.005137935800089435
0.0076429281707889275,0.005276828008114395
0.0078440578594939,0.005415721760447287
0.00804518754819887,0.005554617058155173
0.008246317236903843,0.005693513902305866
0.008447446925608814,0.0058324122939664574
0.008648576614313785,0.005971312234204593
0.008849706303018758,0.006110213724087529
0.00905083599172373,0.00624911676468308
0.009251965680428702,0.006388021357058668
0.009453095369133673,0.006526927502281857
0.009654225057838646,0.006665835201420514
0.009855354746543617,0.006804744455542036
0.010056484435248588,0.006943655265714152
0.010257614123953561,0.007082567633004869
0.010458743812658532,0.007221481558481471
0.010659873501363505,0.0073603970432121885
0.010861003190068476,0.007499314088264639
0.011062132878773447,0.007638232694706773
0.01126326256747842,0.007777152863606543
0.01146439225618339,0.007916074596031955
0.011665521944888364,0.008054997893050378
0.011866651633593335,0.008193922755730484
0.012067781322298306,0.00833284918514042
0.012268911011003279,0.008471777182347803
0.01247004069970825,0.008610706748421196
0.012671170388413222,0.008749637884428105
0.012872300077118193,0.00888857059143712
0.013073429765823165,0.009027504870516581
0.013274559454528137,0.009166440722734495
0.013475689143233108,0.009305378149159424
0.013676818831938081,0.00944431715085918
0.013877948520643052,0.009583257728902575
0.014079078209348023,0.009722199884357977
0.014280207898052996,0.009861143618293752
0.014481337586757967,0.010000088931778048
0.01468246727546294,0.010139035825880119
0.014883596964167911,0.010277984301667556
0.015084726652872882,0.010416934360209643
0.015285856341577855,0.010555886002574746
0.015486986030282826,0.01069483922983129
0.0156881157189878,0.010833794043048448
0.01588924540769277,0.010972750443294613
0.01609037509639774,0.01111170843163821
0.016291504785102714,0.011250668009148798
0.016492634473807687,0.01138962917689447
0.016693764162512656,0.011528591935944701
0.01689489385121763,0.011667556287367889
0.0170960235399226,0.011806522232233316
0.01729715322862757,0.011945489771609627
0.017498282917332544,0.01208445890656594
0.017699412606037516,0.01222342963817126
0.01790054229474249,0.012362401967494788
0.01810167198344746,0.012501375895605585
0.01830280167215243,0.012640351423572768
0.018503931360857404,0.012779328552465594
0.018705061049562374,0.012918307283353372
0.018906190738267346,0.013057287617304916
0.01910732042697232,0.013196269555389703
0.019308450115677292,0.013335253098677266
0.01950957980438226,0.013474238248236889
0.019710709493087234,0.01361322500513805
0.019911839181792207,0.013752213370449864
0.020112968870497176,0.013891203345242062
0.02031409855920215,0.01403019493058398
0.020515228247907122,0.01416918812754546
0.02071635793661209,0.014308182937195726
0.020917487625317064,0.014447179360604787
0.021118617314022037,0.014586177398841979
0.02131974700272701,0.014725177052977087
0.02152087669143198,0.014864178324079755
0.021722006380136952,0.015003181213219904
0.021923136068841925,0.015142185721467458
0.022124265757546894,0.015281191849892115
0.022325395446251867,0.015420199599563325
0.02252652513495684,0.015559208971551872
0.02272765482366181,0.015698219966927093
0.02292878451236678,0.015837232586759023
0.023129914201071754,0.015976246832117777
0.023331043889776727,0.0161152627040735
0.023532173578481697,0.016254280203696278
0.02373330326718667,0.01639329933205623
0.023934432955891642,0.016532320090223526
0.02413556264459661,0.01667134247926834
0.024336692333301584,0.016810366500261034
0.024537822022006557,0.0169493921542717
0.024738951710711526,0.01708841944237087
0.0249400813994165,0.017227448365628603
0.025141211088121472,0.01736647892511571
0.025342340776826445,0.017505511121902698
0.025543470465531414,0.017644544957059624
0.025744600154236387,0.017783580431657217
0.02594572984294136,0.017922617546765926
0.02614685953164633,0.018061656303456616
0.026347989220351302,0.018200696702799682
0.026549118909056275,0.018339738745865683
0.026750248597761248,0.01847878243372579
0.026951378286466217,0.018617827767450232
0.02715250797517119,0.018756874748110178
0.027353637663876162,0.01889592337677616
0.027554767352581132,0.019034973654519463
0.027755897041286105,0.019174025582410617
