lat,long,cell_id,Lbar_g,sigma2_g,sigma_g,pcold_g,pwarm_g
18,97.5,1,296.8250376084991,0.4722032130529279,0.6871704395948125,0.1614819004524887,0.15653280542986425
18,100,2,295.29656053883997,0.6240567164239575,0.7899726048566226,0.18679298642533937,0.18028846153846154
18,102.5,3,294.4944574243163,0.41954598326346126,0.647723693609753,0.11807126696832579,0.1371606334841629
18,105,4,294.90571830355384,0.25522734335841935,0.5052003002358761,0.06151018099547511,0.09898190045248868
18,107.5,5,297.12255767028256,0.1526163404454466,0.3906614140729112,0.026866515837104074,0.05571266968325792
18,110,6,297.6069961831221,0.12884847114895376,0.3589546923344975,0.024886877828054297,0.03195701357466063
18,112.5,7,297.9445345754178,0.17375959689662404,0.4168448115265728,0.05175339366515837,0.04736990950226244
18,115,8,298.25076494749135,0.22615626163346841,0.47555889396947293,0.08031674208144797,0.07720588235294118
18,117.5,9,298.35216680299465,0.24728195509835768,0.49727452689471,0.08837669683257919,0.09205316742081449
18,120,10,298.1836620179057,0.21913901702298755,0.46812286530673497,0.06999434389140272,0.08144796380090498
18,122.5,11,298.1737009425329,0.15538457261673316,0.3941884988387322,0.042279411764705885,0.03888574660633484
18,125,12,298.6387141067338,0.15575934747584133,0.39466358772483856,0.046521493212669685,0.03294683257918552
18,127.5,13,298.81543183398645,0.14392861352858202,0.3793792476250935,0.04242081447963801,0.02559389140271493
18,130,14,298.9227760154557,0.12877784706397477,0.35885630419984926,0.03577488687782805,0.017816742081447963
18,132.5,15,299.0150197767744,0.11582627949943547,0.3403326012879687,0.030684389140271492,0.010605203619909503
18,135,16,299.0969476904804,0.10439849616262328,0.32310756128977125,0.026300904977375566,0.008059954751131223
18,137.5,17,299.15723522216484,0.09571840920957486,0.30938391879600796,0.021493212669683258,0.004100678733031674
18,140,18,299.19275949587467,0.08900323863224177,0.2983341057141167,0.021634615384615384,0.0025452488687782806
18,142.5,19,299.19639974230194,0.08454031403543814,0.29075817105532586,0.02106900452488688,0.0019796380090497737
19.8947368421053,97.5,20,294.3561869922626,0.46458263016732004,0.6816029857382668,0.15752262443438914,0.16020927601809956
19.8947368421053,100,21,292.4422426982523,0.5538076078886636,0.7441825097976057,0.17604638009049775,0.167420814479638
19.8947368421053,102.5,22,291.96801370768884,0.29607939054477095,0.5441317768195227,0.08385180995475112,0.10492081447963801
19.8947368421053,105,23,293.9760938320045,0.27000384625949025,0.5196189433224027,0.08074095022624435,0.10138574660633484
19.8947368421053,107.5,24,296.5926273800489,0.15503755341291775,0.39374808369428005,0.034926470588235295,0.04751131221719457
19.8947368421053,110,25,296.809084252894,0.16944901634783274,0.4116418544655448,0.04284502262443439,0.05217760180995475
19.8947368421053,112.5,26,297.4920145001706,0.13559733805026072,0.3682354383410982,0.03153280542986425,0.030684389140271492
19.8947368421053,115,27,297.79051554149095,0.1744514506226063,0.41767385676219465,0.04835972850678733,0.05104638009049774
19.8947368421053,117.5,28,297.9945424606358,0.20828362084977192,0.4563810040413294,0.06518665158371041,0.07197398190045248
19.8947368421053,120,29,298.06893846747744,0.2134759781835513,0.46203460712759525,0.06829751131221719,0.07635746606334842
19.8947368421053,122.5,30,298.08166682846047,0.21052264948384258,0.4588274724597935,0.06829751131221719,0.07239819004524888
19.8947368421053,125,31,298.077222427092,0.20301232888032117,0.4505688947101444,0.06716628959276018,0.0661764705882353
19.8947368421053,127.5,32,298.16828997426444,0.1916427825528699,0.43777023945543614,0.059247737556561084,0.055995475113122174
19.8947368421053,130,33,298.2829812846033,0.1766767881040024,0.4203293804910649,0.05486425339366516,0.04468325791855204
19.8947368421053,132.5,34,298.4056490621955,0.16243005269331184,0.40302611912047565,0.049773755656108594,0.035633484162895926
19.8947368421053,135,35,298.5296125523465,0.14954366259063342,0.38670875680624744,0.04468325791855204,0.029694570135746605
19.8947368421053,137.5,36,298.6428268531149,0.13870880064149516,0.37243630414004375,0.038461538461538464,0.025452488687782805
19.8947368421053,140,37,298.7343063322128,0.12937559044131336,0.3596881850176808,0.034219457013574664,0.020079185520361992
19.8947368421053,142.5,38,298.7881546915926,0.1213598007764471,0.3483673359780551,0.031815610859728505,0.01456447963800905
21.7894736842105,97.5,39,292.3219728038322,0.4074608734157003,0.6383266196984897,0.14917986425339366,0.1472002262443439
21.7894736842105,100,40,290.2334553120183,0.37193130355439824,0.6098617085490761,0.1213235294117647,0.13249434389140272
21.7894736842105,102.5,41,289.97151223998264,0.24341150739249903,0.4933675175693056,0.0709841628959276,0.08823529411764706
21.7894736842105,105,42,291.8013455087423,0.24404198142760866,0.49400605403943043,0.07423642533936652,0.08936651583710407
21.7894736842105,107.5,43,294.43058999127754,0.21897234987250766,0.46794481498624135,0.06759049773755656,0.0762160633484163
21.7894736842105,110,44,295.85669563330856,0.2983400088147765,0.5462050977561236,0.10690045248868778,0.1101527149321267
21.7894736842105,112.5,45,296.67820127876996,0.15411016517270948,0.39256867574057597,0.03888574660633484,0.03817873303167421
21.7894736842105,115,46,296.9499132938874,0.14423746837160423,0.3797860823827069,0.034502262443438916,0.03478506787330317
21.7894736842105,117.5,47,297.1334990491335,0.1724159505923081,0.41522999722118836,0.04666289592760181,0.05118778280542986
21.7894736842105,120,48,297.3502088236773,0.1989707732001557,0.44606140070640016,0.06122737556561086,0.06518665158371041
21.7894736842105,122.5,49,297.3842509598394,0.2272838617189697,0.47674297238550845,0.0746606334841629,0.08173076923076923
21.7894736842105,125,50,297.32645427551387,0.24035189845933222,0.49025697186203504,0.0794683257918552,0.0895079185520362
21.7894736842105,127.5,51,297.35848767221603,0.23189221480364441,0.4815518817361681,0.07565045248868778,0.08201357466063348
21.7894736842105,130,52,297.4696735861075,0.21899181367569162,0.46796561163796174,0.06914592760180996,0.07395361990950226
21.7894736842105,132.5,53,297.6050801884894,0.20762312320177032,0.4556568041868467,0.06518665158371041,0.0673076923076923
21.7894736842105,135,54,297.7590312159439,0.1972800541026646,0.4441621934639019,0.06066176470588235,0.06066176470588235
21.7894736842105,137.5,55,297.91340808379346,0.18904335366473385,0.43479116097815723,0.05854072398190045,0.055995475113122174
