cell_id,pop_1776,pop_1820,pop_1851,pop_1880,pop_1910,pop_1953
5,21.5004438166,32.281034194525,37.6261945926,43.438181226375,51.664919786024996,63.91141929085
6,16.31850325763065,25.30803663348935,29.49859367547685,34.05513823205,39.72789521795,49.144877788126855
24,22.01693596666,32.66340530902,38.07187950698,43.95270953006,51.82284369504,64.1067770153
25,47.166732147411,58.14455818573831,67.46698817816207,77.57172262068315,89.49305644269272,110.05533061487242
40,9.021791652807982,12.900764334003677,16.220527819010986,12.748941262609865,18.518134220822827,24.272229866743228
41,13.34835793969189,17.482957418663233,21.121204662736318,18.057623708438957,17.19277547206428,21.058607213861045
42,15.014271852050001,20.069811772875,24.851545450350002,30.374111105975,38.4965692614,52.814591512999996
43,54.36051225501587,75.19388166450754,87.70722400787857,60.60814206670357,78.26690537506032,99.22380150045674
44,89.88702545653284,102.4201615899348,115.66458509899093,129.73624782715711,145.64572392495245,173.22180248943408
45,102.26994131012827,126.28751567081804,139.38292504278442,152.9397848162877,173.07718836901927,199.0011976007705
46,136.01156916664482,164.9835929459793,179.71979915058967,194.76182205283448,210.0088719565138,236.91690167351723
58,11.037724003242895,15.948578426888245,18.381457672821753,20.938993228210176,23.166107472839474,28.114040150142106
59,12.26311182873835,15.821591816038406,19.66184304381021,20.05042144372192,23.335408801351537,30.72620379113589
60,24.91736417711957,32.992291179870094,39.66063451820485,35.96897581159422,35.19657085984851,45.26854419910765
61,16.171662678842882,19.83177907640369,23.176557368258667,26.749030246294105,31.598465985501527,40.109961122512885
62,37.24454782604415,44.38257573714914,50.964381440644914,49.48316533793474,57.52105907689136,70.04654846043877
63,42.982629545844134,51.58962236361862,60.806876794514714,70.93688854311397,82.9718467467527,104.343607098246
64,94.82705098000056,103.15935579975996,113.74189451082104,124.78215998785996,135.90269021512646,156.42774430485048
65,78.37932039593696,92.40699897780972,102.8369368452661,113.34643786403733,125.93454009791772,147.36349285697182
66,209.14266861957273,240.11588623151135,273.8202987300509,205.75632977078953,232.50510093935364,268.33931951372773
77,13.662198186708176,18.35104801529287,20.200148781100662,22.346614188118508,24.703405959356907,28.968035106070165
78,27.53964467725164,30.863718521325648,37.244378972780346,31.80072025032233,36.424813217832764,46.52638719375408
79,37.50886817399541,51.909111677108534,66.3740650816279,46.49916267702947,57.35616742036705,77.24834032895295
80,23.510747611145696,32.787847881501825,40.00334239428038,47.81021343103181,57.14397532781981,75.05279138987923
81,24.914864400890206,31.3460405590094,35.7961750197906,40.54229403851222,46.11953470520319,55.651825703656954
82,34.41935087646673,43.30615321473497,49.87611855357089,55.045671045887715,63.31800735654518,77.77304498976578
83,67.56126862593383,80.43156510746388,90.69951372249335,87.72175043732167,97.7527632586884,114.3099939812289
84,77.1640436704057,91.78815068794506,100.44247682289087,69.99025544161483,76.90751011389145,81.11864097035912
85,94.72877277051577,113.10838765164506,125.07374415121807,92.6430756893557,98.19694794799163,106.1319073296154
86,197.24555821603607,215.11888485265246,231.3744219565082,233.19195897903688,248.08983823669755,270.2116093294672
96,3.0651569911288097,5.601103316102143,6.16710954594,6.721323979319524,7.207138759608095,8.292829534300477
97,7.5398361638188325,10.374303571168944,11.825906854123684,13.371377985043418,15.244558814637244,18.629181082225394
98,17.078301006265743,22.23246181184232,26.86428242033967,31.765064749231897,37.28916117615077,48.355771288146364
99,26.6814541208506,37.29535925922166,47.13564028700948,58.6185746591147,74.68066330482515,98.9477683988621
100,40.3576751824079,53.79244686018577,62.43123399204462,71.86435849817904,81.19934191703038,100.35218958762
101,51.81412831770735,62.934709974053774,69.10767911959478,75.48787166978724,86.39628987811935,109.1110148361323
102,91.15265548631079,112.95079255919423,133.8742433535526,145.25907229457417,173.61890423545472,227.08767196260615
103,122.6683748792827,140.6510579312125,154.2451825456075,82.08399303591865,94.2846167437002,108.74031468234308
104,90.97744562619404,100.54230829197807,108.60023348132442,57.34328689952981,62.81679131333231,64.25991470605923
105,88.43402968994823,105.89569461829404,118.34559730199457,118.2616383597645,130.16687461956775,150.6743717753363
106,294.54007222042856,246.74374351785715,270.0622476347143,247.7309412372857,276.47942848285714,319.56869441714286
115,1.1732803146641892,1.3401593257184865,1.5668936950130812,1.8143654187034866,2.054322144824162,2.5595070130043243
116,1.3085529034755785,1.6351339587488432,1.9124881387584725,2.2153272225460214,2.503728386216559,3.1207879805876275
117,19.18454316089327,25.91601262265971,31.33395699519994,37.448629972432265,45.03192934492619,56.84763170400435
118,87.71664107050873,121.60816625304048,155.69374547453413,196.82562213581946,239.88644579667698,333.133868645674
119,46.403789556184286,61.51604560809273,74.81477890231533,90.41037150420867,127.58764114851164,194.81071065658486
120,39.85361553099032,54.411562654364424,60.14129406561206,67.90781603278795,76.01367134229565,91.95246057127412
121,105.41480932659655,127.3405764659652,147.08284681676705,139.02384628862148,164.8664351561889,209.61287661474404
122,137.87218267277112,172.58016898408718,188.35332908656903,104.48890418466551,119.40675995170037,147.86789981825027
123,135.21271205161648,168.06758187255826,186.9581850175611,77.8164650953674,90.98780453927942,106.9360645661729
124,219.84359318813821,276.66132722944474,306.14809058567346,152.99914138574573,174.58100984417624,219.69282853736732
125,329.0563386696477,391.58950224882244,435.33546459669157,297.8268047136729,330.6320170850374,369.67184558457006
134,1.018804847165,0.984735791647295,1.1593454927221007,1.3512588578677627,1.5744071550097123,1.9762171240631654
135,1.2185506688168715,1.2333171190150964,1.4526914812803595,1.6933354115366426,1.960471483875749,2.461723997460966
136,11.064452337812455,16.249714378875566,19.396690617861427,22.895988719112783,27.348863902187354,35.30192437986067
137,81.19047490949328,114.70371933724991,143.46050519151441,177.58789455125316,219.9152984450486,317.31195315280405
138,48.40292312040497,71.23420850243102,91.33556597701525,115.48784167456377,149.25700002336052,217.20645216875366
139,29.16531032796018,39.10767453974201,45.7106867163984,51.68645047877295,59.623439392113426,87.63108310266253
140,78.4107770323976,93.90961705976653,106.81120525477351,105.17458267170079,121.66179526648386,148.49608025755757
141,144.27192027656093,179.39709823288035,203.27673663362384,156.64913615052103,179.35357980906332,218.82392181246954
142,245.35004038888871,300.8128190485426,352.488625516648,173.27381409444618,195.46361523496,238.914274545456
143,451.43145856154166,548.1691113252215,618.3437150727901,233.70283834003462,297.60707808877925,450.2422706542224
144,594.7672781824728,695.4774915602545,769.7394460300545,665.8111452975818,612.4065034719999,1409.6098793787637
153,0.721592264821061,0.7145731356091403,0.8412779147728597,0.980540645862878,1.145260562205189,1.4375468039589634
154,0.5167102125722833,0.5238844623619214,0.6159184996308739,0.7191201230641048,0.8358048189071285,1.0494522158737167
155,1.6665092642612813,2.9289023291582508,3.270805151099,1.953677072341234,2.421528516425002,3.388827096458409
156,24.269047823930517,29.340608156094614,32.48783875895659,25.893307251962895,34.180595478689106,46.97275234585054
157,22.415233792371318,54.75545036846214,58.04461117473107,40.51722878199918,52.44800806975144,77.5843141908282
158,21.483843959618103,52.90523765467111,60.257489327256565,43.39435962495071,56.926672598306666,87.21086063745051
159,100.44951137243265,118.58485373322567,133.27622484281005,137.0114199711659,154.64251443747125,196.26025833482853
160,172.5038828856567,203.47228075017966,229.22040964321403,218.21701907899288,254.29490084430182,326.2595688563496
161,146.55769979250329,177.49845040212494,206.3263986414137,160.7691312039763,195.66683966409755,243.75027859578057
162,246.79798847653257,305.5364679639031,354.5852071995322,293.64682559343794,300.9982071795153,366.1118089300278
172,0.345074048162,0.269005239705,0.315632814587,0.369433862528,0.418297072589,0.525464091187
173,6.627121336461055,14.111147509604333,15.68581294001286,5.292153047239611,8.172647762362194,24.689302363219443
174,25.712372027248367,37.242342007330684,40.32644135679195,10.658321345939678,15.868397926016097,30.239693144032657
175,88.9322431431742,91.18347869728956,98.51523867343582,28.3257433152326,40.43960290352132,69.35600104059381
176,87.55451955346666,106.34755233905597,113.67512968496521,43.54738794962621,57.80639058662955,103.85490476589715
177,112.27311269617498,135.53870251567423,149.68267988945092,57.86242248109684,81.14620136634872,137.21711627253498
178,117.47837685518441,139.21046695237172,156.10948099692868,111.24988308275155,136.46364231781496,195.2927077060813
179,200.36297846966326,237.42726499465826,264.1999686812457,226.71414724825908,264.93439216522984,363.36896825964925
180,167.4514280696704,192.68962339645225,215.8028617570345,238.59370700961543,266.04714443225106,324.9297623801245
181,119.1782111774149,147.43092419045,163.58216158829893,180.14593235440958,204.2760849523351,266.74640730766487
192,7.41381762854683,11.439325458372195,12.71394522085,4.25948546978278,6.684432692845366,20.27986570497561
193,30.29063809834764,33.52455433265989,36.56112028472959,11.060734034250506,17.196970089447188,39.51490601405996
194,48.29894003598376,50.640507023810116,54.699373031818354,11.587037362553483,18.07771898562687,36.62083284951035
195,32.62552198689643,32.07562251371657,34.63447302785957,4.40049242573211,5.992607772262614,19.342569721715204
196,32.739058883842716,39.255872979973844,43.7806478444623,21.436586916370825,23.393703636114218,41.62841353330028
197,89.59575776102744,100.29418024498531,111.72607661134425,59.508931447588914,74.07210776916133,102.73540676655915
198,165.3878182698362,197.30933883946594,215.48406646179419,225.13462614087163,266.1161686677155,291.1710731603028
199,191.77718225558078,222.46404564287886,243.0642437740641,264.22628378447865,289.54161450180555,324.20998418848075
200,202.53528439784048,216.45605474041247,242.91399457064298,270.6332671447411,301.2089855438623,353.960647054957
201,88.53912894342534,168.63703046308933,187.94510627890668,207.94451984774668,232.10762886678665,269.72524329505336
210,1.3240089099250172,1.5476725537440883,1.670264907559875,0.4478788362358002,0.6897617663114781,1.468763282753079
211,27.874086428725214,30.30096102063569,32.71685112241815,6.557680968456483,10.108843879971623,18.576270349736546
212,30.479452649085914,31.432419836653043,33.959703055493044,9.389553722604957,14.566645295283479,27.594053510728695
213,59.091193982705455,68.14126668973333,73.51564439192273,8.174016889206213,10.92575846214591,40.9203115338
214,54.874576152303895,64.17554373499351,69.23308658562597,7.225061215199091,9.52949088375961,37.862709314931166
215,52.02274471736048,66.01695054825929,76.21150912356826,43.36845609019102,53.146041148086226,71.03697109586706
216,48.59302694053174,57.521177036194416,63.07847655277821,47.85043957870491,57.83159459832098,75.62678352465937
217,115.52457452511157,139.7855479210476,157.66181066709606,176.11142938182076,198.48357801274062,237.2128009135024
218,100.41499990755015,134.49790907107135,152.73101599630016,185.24757789185702,242.64996511132,322.6119644654776
219,127.19331717782963,118.47693173819259,134.4976357661,151.37225009707038,175.250338815,208.9669320604074
229,1.0191395939588122,1.1884140494865807,1.281389925965273,0.43115310425839826,0.5932776132741656,1.4931890978284206
230,12.642640266687867,17.061426039946667,18.4203006803,4.344665215701333,7.081062581950533,13.614536813758
234,3.6501731973016,4.2268176064816,4.506276621786533,4.0521557219168,43.52477358876266,44.35841340548534
235,17.042669134991147,17.628479790563148,18.773591211061635,16.92133940137488,38.43339608723971,50.84424503782612
236,22.977968468646036,30.800224752162517,37.19858264557772,43.93428391573192,54.35500026458502,74.67972607081587
