Model,Additional_terms,n,AIC,BIC,Deviance_explained
M1,None,63104,29705.957852648364,30303.584181573253,0.2718667758492227
M2,Climate,63104,29582.114780276203,30206.27447584582,0.2750602187109991
M3,Population,63104,29618.391462384614,30209.96766575861,0.2739898193573826
M4,Climate + Population,63104,29488.77486886767,30111.253970676367,0.27734917905339623
