city,long,lati,year,ensemble_mean_kelvin
HongKong,114.167,22.333,1406,295.6699351547863
Shanghai,121.433,31.167,1406,289.5197830099352
Beijing,116.283,39.933,1406,280.0278438189372
HongKong,114.167,22.333,1407,295.7743983081386
Shanghai,121.433,31.167,1407,289.55792053067574
Beijing,116.283,39.933,1407,280.0677693932177
HongKong,114.167,22.333,1408,295.94190438386073
Shanghai,121.433,31.167,1408,289.8790193988285
Beijing,116.283,39.933,1408,280.262393560588
HongKong,114.167,22.333,1409,295.76802216861074
Shanghai,121.433,31.167,1409,290.0456879136585
Beijing,116.283,39.933,1409,280.2329278004664
HongKong,114.167,22.333,1410,295.5885841457318
Shanghai,121.433,31.167,1410,289.7080882603288
Beijing,116.283,39.933,1410,280.18209496356855
HongKong,114.167,22.333,1411,295.67239433345657
Shanghai,121.433,31.167,1411,289.74424294683956
Beijing,116.283,39.933,1411,280.09422250587767
HongKong,114.167,22.333,1412,295.72417093930636
Shanghai,121.433,31.167,1412,289.73309076134217
Beijing,116.283,39.933,1412,279.9814833707609
HongKong,114.167,22.333,1413,295.7324594737517
Shanghai,121.433,31.167,1413,289.6745408236733
Beijing,116.283,39.933,1413,280.1120390181942
HongKong,114.167,22.333,1414,295.6374411310514
Shanghai,121.433,31.167,1414,289.6340632624031
Beijing,116.283,39.933,1414,280.15054688185666
HongKong,114.167,22.333,1415,295.74283997783147
Shanghai,121.433,31.167,1415,289.8752186064364
Beijing,116.283,39.933,1415,280.2051827518061
HongKong,114.167,22.333,1416,295.80437588469766
Shanghai,121.433,31.167,1416,289.8944902961855
Beijing,116.283,39.933,1416,280.0055247696297
HongKong,114.167,22.333,1417,295.7286032332683
Shanghai,121.433,31.167,1417,289.7004019487897
Beijing,116.283,39.933,1417,279.8903932546007
HongKong,114.167,22.333,1418,295.5440319042748
Shanghai,121.433,31.167,1418,289.37139315745134
Beijing,116.283,39.933,1418,279.7408115224476
HongKong,114.167,22.333,1419,295.58172120091314
Shanghai,121.433,31.167,1419,289.63049245274004
Beijing,116.283,39.933,1419,280.1186373381676
HongKong,114.167,22.333,1420,295.77321315212674
Shanghai,121.433,31.167,1420,289.6387351436546
Beijing,116.283,39.933,1420,279.9087298360433
HongKong,114.167,22.333,1421,295.6116584384064
Shanghai,121.433,31.167,1421,289.7239375552673
Beijing,116.283,39.933,1421,280.16743540030717
HongKong,114.167,22.333,1422,295.71503147054716
Shanghai,121.433,31.167,1422,289.87382748106654
Beijing,116.283,39.933,1422,280.25884074977114
HongKong,114.167,22.333,1423,295.63708980846593
Shanghai,121.433,31.167,1423,289.6694787956454
Beijing,116.283,39.933,1423,279.85217837332
HongKong,114.167,22.333,1424,295.6434240672133
Shanghai,121.433,31.167,1424,289.7760597415816
Beijing,116.283,39.933,1424,280.2398720933677
HongKong,114.167,22.333,1425,295.8254954523112
Shanghai,121.433,31.167,1425,289.8987567653549
Beijing,116.283,39.933,1425,279.9842243350412
HongKong,114.167,22.333,1426,295.80795575838766
Shanghai,121.433,31.167,1426,289.6436225854931
Beijing,116.283,39.933,1426,279.83791148892084
HongKong,114.167,22.333,1427,295.5818792219953
Shanghai,121.433,31.167,1427,289.5239882655051
Beijing,116.283,39.933,1427,280.0164842978076
HongKong,114.167,22.333,1428,295.51941866489835
Shanghai,121.433,31.167,1428,289.6164171517262
Beijing,116.283,39.933,1428,280.1035526423545
HongKong,114.167,22.333,1429,295.61082934472097
Shanghai,121.433,31.167,1429,289.5626418120944
Beijing,116.283,39.933,1429,280.0041923824742
HongKong,114.167,22.333,1430,295.7465858886344
Shanghai,121.433,31.167,1430,289.7550687335628
Beijing,116.283,39.933,1430,280.2732993356697
HongKong,114.167,22.333,1431,295.82727670022746
Shanghai,121.433,31.167,1431,289.9762669031364
Beijing,116.283,39.933,1431,280.2565177020816
HongKong,114.167,22.333,1432,295.7383114169678
Shanghai,121.433,31.167,1432,289.77781084245424
Beijing,116.283,39.933,1432,279.9498117398204
HongKong,114.167,22.333,1433,295.6185169194603
Shanghai,121.433,31.167,1433,289.7798286347196
Beijing,116.283,39.933,1433,280.0999335885315
HongKong,114.167,22.333,1434,295.57143938940084
Shanghai,121.433,31.167,1434,289.6282416556247
Beijing,116.283,39.933,1434,279.97046278546935
HongKong,114.167,22.333,1435,295.5876688236265
Shanghai,121.433,31.167,1435,289.5567233673372
Beijing,116.283,39.933,1435,279.9050723865473
HongKong,114.167,22.333,1436,295.717644267021
Shanghai,121.433,31.167,1436,289.6447959605298
Beijing,116.283,39.933,1436,279.9576768744082
HongKong,114.167,22.333,1437,295.70838974321777
Shanghai,121.433,31.167,1437,289.72041627546525
Beijing,116.283,39.933,1437,280.212801481766
HongKong,114.167,22.333,1438,295.75996755702255
Shanghai,121.433,31.167,1438,289.90487699332874
Beijing,116.283,39.933,1438,280.21370529306125
